Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2020-03-09 12-PM,BTCUSD,7828.43,7900,7828.43,7853,0.5605,4424.42
2020-03-09 11-AM,BTCUSD,7923.41,7923.41,7750,7828.43,0.2693,2096.8
2020-03-09 10-AM,BTCUSD,7910.66,7924.18,7910.62,7923.41,0.02292,181.36
2020-03-09 09-AM,BTCUSD,8007.07,8007.07,7897.78,7910.66,0.06787,536.22
2020-03-09 08-AM,BTCUSD,7893.87,8007.07,7893.87,8007.07,0.06754,537.09
2020-03-09 07-AM,BTCUSD,7900,7940.4,7893.87,7893.87,0.01187,94.15
2020-03-09 06-AM,BTCUSD,7921.27,7969.68,7900,7900,0.1335,1056.51
2020-03-09 05-AM,BTCUSD,7872.34,7921.27,7720,7921.27,0.1059,827.0
2020-03-09 04-AM,BTCUSD,8078.04,8078.04,7856.14,7872.34,0.4628,3663.19
2020-03-09 03-AM,BTCUSD,8066.83,8078.04,8005,8078.04,0.02032,163.18
2020-03-09 02-AM,BTCUSD,8072.93,8072.93,8066.83,8066.83,0.00938,75.68
2020-03-09 01-AM,BTCUSD,8072.93,8072.93,8072.93,8072.93,0.0,0.0
2020-03-09 12-AM,BTCUSD,8046.42,8072.93,8046.42,8072.93,0.00146,11.79
2020-03-08 11-PM,BTCUSD,8215.92,8253.06,8046.42,8046.42,0.1912,1549.44
2020-03-08 10-PM,BTCUSD,8217.38,8219.07,8198.3,8215.92,0.02311,189.86
2020-03-08 09-PM,BTCUSD,8319.3,8319.3,8209.88,8217.38,0.06163,506.51
2020-03-08 08-PM,BTCUSD,8322.51,8322.51,8319.3,8319.3,0.001561,12.99
2020-03-08 07-PM,BTCUSD,8322.51,8322.51,8322.51,8322.51,0.0,0.0
2020-03-08 06-PM,BTCUSD,8322.51,8322.51,8322.51,8322.51,0.0,0.0
2020-03-08 05-PM,BTCUSD,8200,8341.26,8200,8322.51,0.07259,603.96
2020-03-08 04-PM,BTCUSD,8414.04,8414.04,8200,8200,0.3338,2757.21
2020-03-08 03-PM,BTCUSD,8594,8594,8317.02,8414.04,0.6049,5118.59
2020-03-08 02-PM,BTCUSD,8660.36,8661.47,8594,8594,0.03556,307.33
2020-03-08 01-PM,BTCUSD,8710,8710,8660.36,8660.36,0.2422,2100.0
2020-03-08 12-PM,BTCUSD,8755.19,8755.19,8710,8710,0.1566,1363.76
2020-03-08 11-AM,BTCUSD,8720,8755.19,8718.2,8755.19,0.1444,1263.86
2020-03-08 10-AM,BTCUSD,8720.01,8720.01,8720,8720,0.06885,600.36
2020-03-08 09-AM,BTCUSD,8720.01,8720.01,8720.01,8720.01,0.0,0.0
2020-03-08 08-AM,BTCUSD,8765,8765,8720.01,8720.01,3.95,34622.98
2020-03-08 07-AM,BTCUSD,8765,8765,8765,8765,0.001451,12.72
2020-03-08 06-AM,BTCUSD,8765,8765,8765,8765,0.0,0.0
2020-03-08 05-AM,BTCUSD,8800.39,8800.39,8765,8765,0.005153,45.17
2020-03-08 04-AM,BTCUSD,8800.39,8800.39,8800.39,8800.39,0.0,0.0
2020-03-08 03-AM,BTCUSD,8800.39,8800.39,8800.39,8800.39,0.0,0.0
2020-03-08 02-AM,BTCUSD,8800.39,8800.39,8800.39,8800.39,0.0,0.0
2020-03-08 01-AM,BTCUSD,8828.52,8828.52,8800.39,8800.39,0.14,1232.05
2020-03-08 12-AM,BTCUSD,8880,8881.21,8828.52,8828.52,0.1001,888.51
2020-03-07 11-PM,BTCUSD,8880,8880,8880,8880,0.0,0.0
2020-03-07 10-PM,BTCUSD,8880,8880,8880,8880,0.0,0.0
2020-03-07 09-PM,BTCUSD,8880,8880,8880,8880,0.0,0.0
2020-03-07 08-PM,BTCUSD,8880,8880,8880,8880,0.0,0.0
2020-03-07 07-PM,BTCUSD,9092.23,9092.23,8880,8880,0.001126,10.0
2020-03-07 06-PM,BTCUSD,9092.23,9092.23,9092.23,9092.23,0.0,0.0
2020-03-07 05-PM,BTCUSD,9092.23,9092.23,9092.23,9092.23,0.0,0.0
2020-03-07 04-PM,BTCUSD,9151.15,9151.15,9092.23,9092.23,0.02597,236.1
2020-03-07 03-PM,BTCUSD,9151.15,9151.15,9151.15,9151.15,0.0,0.0
2020-03-07 02-PM,BTCUSD,9151.15,9151.15,9151.15,9151.15,0.0,0.0
